timestamp,speed,latitude,longitude,ride_id
1771107924125,56.43977508544922,49.1193878,-122.6243024,2
1771107925091,55.827750778198244,49.1195297,-122.6243051,2
1771107926071,54.54434509277344,49.1196677,-122.6243095,2
1771107927070,54.26854362487793,49.1198042,-122.6243147,2
1771107928091,55.75448226928711,49.1199425,-122.6243202,2
1771107929080,58.25724334716797,49.1200858,-122.6243211,2
1771107930064,60.369337463378905,49.1202353,-122.6243188,2
1771107931083,61.918389129638676,49.1203879,-122.6243158,2
1771107932083,63.328999328613286,49.1205448,-122.6243121,2
1771107933072,64.15677108764649,49.120702,-122.624309,2
1771107934100,63.86353225708008,49.1208617,-122.6243095,2
1771107935083,61.14783554077149,49.1210193,-122.6243097,2
1771107936068,57.42505645751953,49.1211668,-122.6243108,2
1771107937100,54.51087455749512,49.1213074,-122.6243129,2
1771107938099,52.2444637298584,49.1214408,-122.6243109,2
1771107939095,50.27660293579102,49.121569,-122.624309,2
1771107940105,49.357157135009764,49.121692,-122.6243074,2
1771107941083,48.212742233276366,49.1218128,-122.6243047,2
1771107942102,46.78670997619629,49.1219313,-122.624301,2
1771107943050,47.35583610534668,49.1220492,-122.6242957,2
1771107944105,48.90025291442871,49.1221688,-122.6242935,2
1771107945076,50.33686981201172,49.1222931,-122.6242891,2
1771107946086,51.85094375610352,49.1224199,-122.6242892,2
1771107947102,53.45113677978516,49.1225518,-122.6242881,2
1771107948073,53.91004600524902,49.122688,-122.6242888,2
1771107949074,54.406219482421875,49.1228242,-122.6242853,2
1771107950108,56.07180519104004,49.1229613,-122.6242851,2
1771107951116,57.170613098144536,49.1231038,-122.6242838,2
1771107952100,56.22897491455078,49.123246,-122.6242825,2
1771107953095,51.23647499084473,49.123379,-122.6242764,2
1771107954119,46.3218132019043,49.1235006,-122.6242733,2
1771107955056,43.901868438720705,49.1236146,-122.624273,2
1771107956087,41.03824424743652,49.1237196,-122.6242728,2
1771107957079,39.3030704498291,49.1238205,-122.6242727,2
1771107958077,37.19781188964844,49.1239149,-122.6242729,2
1771107959098,35.37834548950195,49.1240048,-122.6242734,2
1771107960062,33.92699661254883,49.1240895,-122.6242715,2
1771107961141,33.92490577697754,49.1241704,-122.6242669,2
1771107962090,36.54521713256836,49.1242573,-122.624264,2
1771107963052,39.86131324768066,49.1243527,-122.624261,2
1771107964058,42.92125282287598,49.1244592,-122.6242571,2
1771107965081,45.702658081054686,49.1245702,-122.6242522,2
1771107966097,48.38727035522461,49.1246894,-122.6242435,2
1771107967054,50.89669876098633,49.1248167,-122.6242331,2
1771107968081,50.4548698425293,49.1249442,-122.6242226,2
1771107969090,48.05760841369629,49.1250664,-122.6242133,2
1771107970091,45.363537597656254,49.1251829,-122.6242103,2
1771107971046,42.10716590881348,49.1252924,-122.6242102,2
1771107972393,39.48215789794922,49.125393,-122.6242125,2
1771107973194,38.526292419433595,49.1254887,-122.6242138,2
1771107974318,36.821986770629884,49.1255818,-122.6242164,2
1771107975211,32.569828033447266,49.1256689,-122.6242158,2
1771107976223,28.714914321899414,49.1257463,-122.624222,2
1771107977216,19.864735221862794,49.1258069,-122.624235,2
1771107979288,2.334317922592163,49.1258691,-122.6242545,2
1771107993137,5.261463260650635,49.1259142,-122.6242813,2
1771108010102,6.8616176605224615,49.125959,-122.6243219,2
1771108012091,10.267352771759034,49.1260079,-122.6243541,2
1771108014092,11.391430950164795,49.1260564,-122.6243899,2
1771108016100,13.476690959930421,49.1261023,-122.6244389,2
1771108018053,19.175780868530275,49.1261667,-122.6245205,2
1771108019081,21.689631271362305,49.1262058,-122.624571,2
1771108020079,23.013349914550783,49.1262499,-122.6246256,2
1771108021049,22.21934566497803,49.1262988,-122.6246737,2
1771108022071,23.990110015869142,49.1263545,-122.6247043,2
1771108023075,24.932640838623048,49.1264161,-122.6247106,2
1771108024056,29.03844795227051,49.1264814,-122.6246819,2
1771108025074,32.45200309753418,49.126549,-122.6246142,2
1771108026122,37.246285629272464,49.1266168,-122.624522,2
1771108027088,42.10659599304199,49.1266896,-122.6244133,2
1771108028077,47.6135856628418,49.1267712,-122.6242927,2
1771108029073,51.683031463623045,49.1268607,-122.6241601,2
1771108030089,52.13383483886719,49.1269543,-122.6240196,2
1771108031089,50.75018577575684,49.1270481,-122.6238819,2
1771108032129,47.96420402526856,49.1271393,-122.6237567,2
1771108033097,46.09644241333008,49.1272266,-122.6236354,2
1771108034068,44.68972892761231,49.1273107,-122.6235195,2
1771108035051,43.941460418701176,49.1273916,-122.6234072,2
1771108036051,45.24858283996582,49.1274713,-122.6232922,2
1771108037070,47.8458194732666,49.1275539,-122.6231694,2
1771108038101,50.374916839599614,49.1276447,-122.6230394,2
1771108039096,53.15269317626953,49.1277398,-122.6229029,2
1771108040097,55.31241645812988,49.1278395,-122.622763,2
1771108041095,55.56381797790527,49.1279413,-122.6226218,2
1771108042078,56.052428054809575,49.1280431,-122.6224797,2
1771108043066,57.44443702697754,49.128148,-122.6223363,2
1771108044093,59.094930267333986,49.1282563,-122.6221864,2
1771108045075,60.87347259521484,49.1283665,-122.6220322,2
1771108046104,62.19562911987305,49.1284821,-122.6218739,2
1771108047090,61.51620025634766,49.1285978,-122.621716,2
1771108048063,60.66521301269531,49.1287111,-122.6215611,2
1771108049087,61.31850814819336,49.1288244,-122.6214017,2
1771108050068,63.043416595458986,49.1289388,-122.6212401,2
1771108051108,64.48803634643555,49.1290538,-122.6210698,2
1771108052107,65.62362442016602,49.129172,-122.6208964,2
1771108053063,66.98866195678711,49.1292914,-122.6207217,2
1771108054080,68.60088500976563,49.1294123,-122.6205422,2
1771108055081,69.34277801513672,49.1295344,-122.6203596,2
1771108056082,68.14540557861328,49.129657,-122.6201784,2
1771108057057,67.3666603088379,49.1297764,-122.6199959,2
1771108058077,61.69662322998047,49.1298922,-122.6198247,2
1771108059084,53.9596492767334,49.1299978,-122.6196718,2
1771108060085,48.7082633972168,49.1300902,-122.6195374,2
1771108061053,47.728245162963866,49.1301767,-122.619408,2
1771108062084,47.053265762329104,49.130261,-122.619284,2
1771108063071,46.47995109558106,49.1303457,-122.6191582,2
1771108064082,46.81750946044922,49.1304303,-122.6190357,2
1771108065084,49.06025505065918,49.1305149,-122.6189119,2
1771108066111,47.77488555908203,49.1306031,-122.6187847,2
1771108067075,44.86145210266113,49.1306888,-122.6186686,2
1771108068077,43.85232353210449,49.1307706,-122.6185569,2
1771108069084,43.08256301879883,49.1308498,-122.6184454,2
1771108070057,43.45997085571289,49.1309284,-122.6183335,2
1771108071055,46.0858268737793,49.1310111,-122.6182198,2
1771108072083,47.64308052062989,49.1310961,-122.6180988,2
1771108073077,48.98658485412598,49.131184,-122.6179765,2
1771108074127,46.843718719482425,49.1312731,-122.6178498,2
1771108075077,38.47202339172363,49.1313489,-122.6177348,2
1771108076087,27.89333267211914,49.1314098,-122.6176448,2
1771108077096,14.078240489959716,49.1314465,-122.6175871,2
1771108087090,10.490310859680177,49.1314914,-122.6175231,2
1771108100066,10.633779430389405,49.1315373,-122.6174664,2
1771108102080,21.312501525878908,49.1315972,-122.6173834,2
1771108103071,22.71583671569824,49.1316472,-122.6173434,2
1771108104128,21.812420654296876,49.1317029,-122.6173349,2
1771108105077,25.647251701354982,49.1317626,-122.6173641,2
1771108106061,27.37910041809082,49.1318174,-122.6174273,2
1771108107096,31.570480728149416,49.1318645,-122.6175122,2
1771108108097,37.16433448791504,49.1319203,-122.617616,2
1771108109075,42.05624771118164,49.1319833,-122.6177368,2
1771108110104,46.78669624328614,49.1320565,-122.617867,2
1771108111090,50.92059402465821,49.132137,-122.6180111,2
1771108112080,54.602545166015624,49.1322237,-122.6181643,2
1771108113082,57.79484252929688,49.1323176,-122.6183294,2
1771108114107,61.15111083984375,49.1324135,-122.618505,2
1771108115085,63.628108978271484,49.1325147,-122.6186867,2
1771108116073,64.8954574584961,49.1326175,-122.6188757,2
