ride_id,t_start,t_end,label,mean_x,mean_y,mean_z,std_x,std_y,std_z,max_x,max_y,max_z,min_x,min_y,min_z,jerk_mean,jerk_std,mag_mean,mag_std,mag_max
2,1771107923098,1771107926559,0,-0.14525867154200872,-0.1036772092183431,-0.253421147664388,0.6032220647230586,0.7122848235719759,0.9030240295574394,1.1384626626968384,0.9978771209716796,1.0747525691986084,-1.402109980583191,-1.5226097106933594,-2.974632501602173,14.363406554645932,8.210019189858635,1.187402879242732,0.5722930483918027,3.1641482298102797
2,1771107924532,1771107927634,0,-0.27782052705685295,-0.1350547154744466,-0.4835946162541707,0.6419043925381761,0.6236471608240107,0.8757849945587138,1.1802304983139038,0.9978771209716796,0.9130251407623292,-1.402109980583191,-1.5226097106933594,-2.974632501602173,15.53180346704879,7.036393427302575,1.231052500582689,0.5838410470334617,3.1641482298102797
2,1771107925600,1771107928718,0,-0.19470076362291971,-0.05616200764973958,-0.2779344399770101,0.636085509061245,0.6345741358600155,0.769487010109908,1.1802304983139038,1.03460693359375,0.9130251407623292,-1.3978400230407717,-1.5226097106933594,-1.513377666473389,14.617528011821957,5.331325986562875,1.1286279278576055,0.4517343975470062,2.0535143986913997
2,1771107926659,1771107929779,0,-0.14975808411836625,0.06394708951314292,-0.1668609420458476,0.6085582803662756,0.6595510245039257,0.8531193072454843,1.1802304983139038,1.1009521484375,1.535211443901062,-1.3978400230407717,-1.8295254707336424,-2.0493099689483643,13.86783022916987,6.075029628660816,1.1382274705609083,0.49916000884359873,2.1186213379400582
2,1771107927743,1771107930837,0,-0.0696840522189935,0.05255980491638183,-0.029762566089630127,0.5496713700527736,0.6918310347605702,0.9604008713659047,1.3769794702529907,1.1009521484375,1.535211443901062,-1.3610223531723022,-1.8295254707336424,-2.0493099689483643,14.059770869246114,6.245243288498931,1.1916752462668014,0.4928261144571172,2.1186213379400582
2,1771107928827,1771107931913,0,-0.0660623294611772,0.014285453160603855,0.20938360293706257,0.6257573253932679,0.646382113186561,1.2755985507801182,1.3769794702529907,1.1009521484375,3.1918158531188965,-1.9762167930603027,-1.8295254707336424,-2.0493099689483643,15.916789315142129,9.486996790527774,1.4121335914311206,0.650944505010842,3.8641358130475107
2,1771107929878,1771107932981,0,0.0016847185790538825,0.029627863566080728,0.28293180068333945,0.5966639041988144,0.5441600790303128,1.245568051982828,1.3769794702529907,1.0187721252441406,3.1918158531188965,-1.9762167930603027,-1.4006881713867188,-1.8135699033737185,15.87340225204005,9.531951157630498,1.3306178774465602,0.6750425036384947,3.8641358130475107
2,1771107930947,1771107934043,0,-0.025485813121000924,0.14487066268920898,0.32210912307103473,0.5323578893454708,0.5356291358098679,1.108911283330223,0.8651558756828308,1.2209339141845703,3.1918158531188965,-1.9762167930603027,-0.9094982147216796,-1.8135699033737185,15.240471986353533,9.27940161149017,1.1683520604572264,0.7194343485066422,3.8641358130475107
2,1771107932024,1771107935123,0,0.039446077992518744,0.017025279998779296,0.177308984597524,0.39370055946999133,0.578065711493658,0.9074277968055038,0.8651558756828308,1.2209339141845703,2.5997753143310547,-0.6345312595367432,-1.2016258239746094,-1.804672360420227,13.514228264761293,6.626795537181808,1.0246501692991372,0.5107892676595729,2.664667860722613
2,1771107933106,1771107936200,0,-0.029149330407381057,0.07428309122721354,-0.09946884711583455,0.4839104348761884,0.6901265878771813,1.0631527066897128,0.7037539482116699,1.8318605422973635,2.5997753143310547,-1.2737901210784912,-1.2095718383789062,-2.851665735244751,14.920971002191159,7.057057106798583,1.1804101588960958,0.6450928885092369,3.123236219059456
2,1771107934148,1771107937259,0,0.020102330793937053,0.13480195999145508,-0.1881835341453552,0.5894519147732529,0.6847825391237156,1.153137596342886,1.0129029750823977,1.8318605422973635,2.5997753143310547,-1.2737901210784912,-1.2095718383789062,-2.851665735244751,17.11877288444445,7.676481658482449,1.3181172855226322,0.6360917614416929,3.123236219059456
2,1771107935224,1771107938327,0,0.07703895270824432,0.25467844009399415,-0.1883430322011312,0.6319752101339084,0.6940149496355976,1.2074214511620274,1.0670219659805298,1.8318605422973635,2.738949775695801,-1.2737901210784912,-1.270258903503418,-2.851665735244751,19.615955784385793,7.5241055196206235,1.3815324199623928,0.688769134396045,3.123236219059456
2,1771107936300,1771107939394,0,0.15159640908241273,0.09492851893107096,-0.10333320697148642,0.5870233054232011,0.6444492520499213,1.1083059816833707,1.0670219659805298,1.4495515823364258,2.738949775695801,-0.7306386232376099,-1.270258903503418,-2.394026756286621,19.395876417894677,6.913704567677089,1.271247159494603,0.6004993982759392,2.742603328356059
2,1771107937368,1771107940461,0,0.12192915032307307,-0.03413778940836588,-0.10623913208643596,0.46613405618359793,0.6069408950102945,1.0495033297142602,1.0670219659805298,1.4495515823364258,2.738949775695801,-0.7234360575675964,-1.270258903503418,-2.394026756286621,17.168743085793878,7.985357864167706,1.14285656739879,0.603503556919331,2.742603328356059
2,1771107938436,1771107941537,0,0.08490912566582362,-0.001100762685139974,-0.33800976673762,0.41123640772604136,0.5279496151122018,0.778166527638739,1.043713927268982,1.0481109619140625,0.8867878913879395,-0.7234360575675964,-0.9660930633544922,-1.8647098541259768,13.118169926663628,6.698849809995727,0.9574691808752498,0.4802913854741613,1.9083575063412566
2,1771107939503,1771107942607,0,0.03882728740572929,0.09415009816487631,-0.31905190149943036,0.38216882820740067,0.5680833780545459,0.84063218630025,0.7617080807685852,1.5835704803466797,1.1899325847625732,-0.6037243008613586,-0.7445411682128906,-1.8647098541259768,12.630395993757373,6.9046129743284155,0.9939273107787161,0.5191446738217559,2.1868383557106377
